what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620628016
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620631598
started,bundle,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui",1503620633028
started,bundle,org.eclipse.wst.jsdt.js.bower,1.0.200.v201610220243,"org.eclipse.wst.jsdt.js.bower",1503620634825
started,bundle,org.eclipse.wst.jsdt.js.node,1.0.200.v201610211901,"org.eclipse.wst.jsdt.js.node",1503620634998
started,bundle,org.eclipse.wst.jsdt.js.npm,1.0.200.v201610211901,"org.eclipse.wst.jsdt.js.npm",1503620635015
started,bundle,org.eclipse.wst.jsdt.core,2.0.200.v201612211424,"org.eclipse.wst.jsdt.core",1503620635584
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.601.v201602241911,"org.eclipse.wst.jsdt.manipulation",1503620636007
started,bundle,org.eclipse.wst.jsdt.ui,2.0.200.v201612151739,"org.eclipse.wst.jsdt.ui",1503620636016
started,bundle,org.eclipse.jdt.debug,3.10.1.v20160811-0441,"org.eclipse.jdt.debug",1503620638717
started,bundle,org.eclipse.jdt.debug.ui,3.7.201.v20160811-0450,"org.eclipse.jdt.debug.ui",1503620638718
started,bundle,org.eclipse.wst.jsdt.chromium.debug.core,0.5.200.v201701261810,"org.eclipse.wst.jsdt.chromium.debug.core",1503620644126
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1503620644244
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1503620644345
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1503620645289
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1503620651292
started,bundle,org.eclipse.wst.validation,1.2.700.v201508251749,"org.eclipse.wst.validation",1503620651613
started,bundle,org.eclipse.m2e.launching,1.7.0.20160603-1933,"org.eclipse.m2e.launching",1503620652502
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620671870
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1503620695434
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620701865
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1503620731480
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620736867
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1503620743026
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620743926
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620786824
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1503620807600
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1503620809910
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1503620810114
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1503620835416
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620854131
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620861007
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1503620957411
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503620966435
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1503621034191
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1503621118373
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1503621154397
